"job_title_short","skills","demand_count","rank"
"Data Analyst","sql","7291","1"
"Data Analyst","excel","4611","2"
"Data Analyst","python","4330","3"
"Data Analyst","tableau","3745","4"
"Data Analyst","power bi","2609","5"
"Data Analyst","r","2142","6"
"Data Analyst","sas","1866","7"
"Data Analyst","looker","868","8"
"Data Analyst","azure","821","9"
"Data Analyst","powerpoint","819","10"
"Data Scientist","python","10390","1"
"Data Scientist","sql","7488","2"
"Data Scientist","r","4674","3"
"Data Scientist","aws","2593","4"
"Data Scientist","tableau","2458","5"
"Data Scientist","sas","2214","6"
"Data Scientist","spark","2008","7"
"Data Scientist","azure","1919","8"
"Data Scientist","pandas","1836","9"
"Data Scientist","tensorflow","1836","10"
