"skill_id","skills","demand_count","avg_salary"
1,"python","999","133804"
0,"sql","989","124484"
5,"r","542","127676"
182,"tableau","449","122545"
181,"excel","333","96985"
76,"aws","249","144321"
183,"power bi","182","110866"
186,"sas","173","118624"
7,"sas","173","118624"
92,"spark","162","146087"
74,"azure","156","135532"
99,"tensorflow","126","151536"
93,"pandas","122","145333"
101,"pytorch","115","152603"
80,"snowflake","109","139198"
185,"looker","106","133328"
97,"hadoop","104","136948"
8,"go","84","148822"
106,"scikit-learn","83","148405"
4,"java","81","137563"
196,"powerpoint","81","104727"
94,"numpy","78","148732"
75,"databricks","73","139943"
79,"oracle","68","111345"
210,"git","63","130964"
61,"sql server","63","106963"
188,"word","63","93750"
81,"gcp","62","154199"
3,"scala","61","154095"
26,"c","57","154455"
215,"flow","53","117401"
78,"redshift","52","135778"
77,"bigquery","49","144543"
22,"vba","48","97931"
13,"c++","46","122451"
9,"javascript","46","101670"
108,"matplotlib","45","136321"
199,"spss","45","110337"
2,"nosql","44","132904"
233,"jira","42","129142"
192,"sheets","42","96460"
102,"jupyter","40","131043"
100,"keras","39","141634"
15,"matlab","39","117472"
214,"docker","37","132536"
95,"pyspark","36","150913"
216,"github","33","126476"
96,"airflow","28","151823"
187,"qlik","28","134374"
213,"kubernetes","27","143609"
10,"html","26","99308"
56,"mysql","25","111835"
169,"linux","23","136472"
62,"mongodb","22","132792"
18,"mongodb","22","132792"
14,"c#","22","107740"
195,"sharepoint","22","90461"
201,"alteryx","20","97259"
194,"ssis","19","112926"
197,"ssrs","19","105837"
98,"kafka","16","140132"
137,"phoenix","16","125859"
112,"plotly","16","123437"
57,"postgresql","16","115547"
198,"outlook","16","95219"
189,"sap","15","123732"
234,"confluence","15","120950"
16,"t-sql","14","105378"
6,"shell","13","138606"
103,"nltk","13","137212"
211,"jenkins","13","120246"
184,"dax","13","105885"
141,"express","12","114828"
168,"unix","12","111666"
204,"visio","12","98410"
170,"windows","11","95161"
63,"cassandra","10","160850"
219,"atlassian","10","160431"
23,"crystal","10","127189"
120,"seaborn","10","119894"
67,"db2","10","113658"
220,"gitlab","9","144089"
59,"elasticsearch","9","130326"
200,"cognos","9","105516"
190,"spreadsheet","9","102928"
110,"react","9","100556"
191,"microstrategy","8","158765"
104,"spring","8","128694"
142,"flask","8","125404"
29,"julia","7","132645"
139,"django","7","115176"
12,"bash","7","100836"
206,"datarobot","6","162998"
247,"slack","6","158333"
121,"hugging face","6","156520"
31,"perl","6","114329"
202,"ms access","6","85519"
235,"planner","6","81417"
85,"watson","5","161471"
25,"php","5","153500"
212,"terraform","5","146400"
248,"zoom","5","133757"
225,"unity","5","130510"
30,"ruby","5","111337"
144,"ruby","5","111337"
20,"powershell","5","105220"
249,"microsoft teams","5","100783"
226,"terminal","5","96000"
236,"smartsheet","5","63000"
105,"gdpr","4","217738"
122,"opencv","4","172500"
58,"neo4j","4","171655"
107,"tidyverse","4","165513"
32,"assembly","4","151620"
118,"theano","4","148250"
84,"ibm cloud","4","143835"
115,"ggplot2","4","109625"
11,"css","4","105000"
27,"golang","3","187500"
64,"dynamodb","3","169670"
154,"node","3","153333"
35,"swift","3","144833"
65,"couchbase","3","143298"
39,"rust","3","140000"
111,"rshiny","3","137500"
239,"trello","3","125000"
82,"firebase","3","124167"
66,"firebase","3","124167"
21,"visual basic","3","90000"
70,"sqlite","3","89167"
218,"bitbucket","2","189155"
41,"elixir","2","161250"
238,"notion","2","132500"
252,"unify","2","127875"
109,"mxnet","2","125250"
145,"node.js","2","119804"
230,"codecommit","2","117467"
60,"mariadb","2","108750"
40,"clojure","2","100000"
48,"lisp","2","100000"
136,"angular","2","92467"
177,"arch","2","82750"
255,"webex","2","81250"
153,"ruby on rails","2","58530"
124,"selenium","1","180000"
38,"solidity","1","165000"
55,"redis","1","162500"
138,"vue","1","156107"
83,"aurora","1","155000"
119,"dplyr","1","155000"
143,"fastapi","1","148000"
24,"mongo","1","136980"
28,"no-sql","1","129000"
250,"twilio","1","127000"
113,"flutter","1","120000"
148,"jquery","1","107500"
123,"electron","1","105000"
45,"pascal","1","92000"
42,"vb.net","1","90000"
242,"clickup","1","90000"
221,"chef","1","85000"
157,"next.js","1","80000"
17,"typescript","1","80000"
89,"digitalocean","1","75000"
51,"erlang","1","72500"
47,"sass","1","67500"
88,"colocation","1","67500"
253,"wire","1","42500"
